Tytuł,Firma,Data_opublikowania,Wynagrodzenie,Technologie,Link
"Software Engineer ll - Embedded, Pixel Power",Google,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/software-engineer-ll-embedded-pixel-power-warszawa-emilii-plater-53,oferta,1003852060?s=4763c9a7&searchId=MTczNzQ5MzI3MTk2NC42MzE4"
"Software Engineer - Early Career, Cloud AI",Google,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/software-engineer-early-career-cloud-ai-warszawa-emilii-plater-53,oferta,1003852050?s=4763c9a7&searchId=MTczNzQ5MzI3MTk2NC42MzE4"
Brak tytułu,Atinea Sp. z o.o.,2025-01-20,Brak wynagrodzenia,Brak technologii,Brak linku
Junior C++ Developer,SQUARE ONE RESOURCES sp. z o.o.,2025-01-20,75–90 zł netto (+ VAT) / godz.,Brak technologii,"https://www.pracuj.pl/praca/junior-c%2b%2b-developer-warszawa-pulawska-2,oferta,1003801295?s=4763c9a7&searchId=MTczNzQ5MzI3MTk2NC42MzE4"
Junior Embedded Hardware Engineer,VIOTAS Limited Sp. z o.o. Oddział w Polsce,2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/junior-embedded-hardware-engineer-krakow-aleja-juliusza-slowackiego-64,oferta,1003851214?s=4763c9a7&searchId=MTczNzQ5MzI3MTk2NC42MzE4"
Internship - Compiler Project INT,Samsung R&D Institute Poland,2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/internship-compiler-project-int-warszawa-plac-europejski-1,oferta,1003850841?s=4763c9a7&searchId=MTczNzQ5MzI3MTk2NC42MzE4"
IT AI/ML Engineer Intern,TSMC Europe B.V.,2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/it-ai-ml-engineer-intern-taiwan,oferta,11106706?s=4763c9a7&searchId=MTczNzQ5MzI3MTk2NC42MzE4"
Internship - Automotive Platform Developer,Samsung R&D Institute Poland,2025-01-19,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/internship-automotive-platform-developer-warszawa-plac-europejski-1,oferta,1003821826?s=4763c9a7&searchId=MTczNzQ5MzI3MTk2NC42MzE4"
Internship – CUDA C++/Python Software Developer,Hitachi Energy Poland Sp. z o.o.,2025-01-19,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/internship-cuda-c%2b%2b-python-software-developer-krakow-pawia-7,oferta,1003823684?s=4763c9a7&searchId=MTczNzQ5MzI3MTk2NC42MzE4"
Junior aplication software developer,InterKadra Sp. z o.o.,2025-01-17,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/junior-aplication-software-developer-namyslow,oferta,1003828969?s=4763c9a7&searchId=MTczNzQ5MzI3MTk2NC42MzE4"
EmbeddedSystems.do - Engineering Team Member,EMBEDDEDSYSTEMS.DO sp. z o.o.,2025-01-16,4 000–12 000 zł / mies. (zal. od umowy),Brak technologii,"https://www.pracuj.pl/praca/embeddedsystems-do-engineering-team-member-gdynia-aleja-zwyciestwa-96-98,oferta,1003843529?s=4763c9a7&searchId=MTczNzQ5MzI3MTk2NC42MzE4"
Automatyk - programista,"ROMER ANDRZEJ CIURA,WOJCIECH CIURA SPÓŁKA CYWILNA",2025-01-16,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/automatyk-programista-skarzysko-kamienna-rejowska-108,oferta,1003842637?s=4763c9a7&searchId=MTczNzQ5MzI3MTk2NC42MzE4"
Płatny Staż w zespole Converter Queueing Engine (CQE),Robert Bosch Sp. z o.o.,2025-01-11,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/platny-staz-w-zespole-converter-queueing-engine-cqe-warszawa-jutrzenki-105,oferta,1003803899?s=4763c9a7&searchId=MTczNzQ5MzI3MTk2NC42MzE4"
Brak tytułu,4 The Player,2025-01-21,6 000–10 000 zł netto (+ VAT) / mies.,Brak technologii,Brak linku
"Software Engineer, Early Career, Campus",Google,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/software-engineer-early-career-campus-warszawa-emilii-plater-53,oferta,1003805916?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Młodszy specjalista ds. obsługi informatycznej szkoleń,Polska Agencja Żeglugi Powietrznej,2025-01-21,6 000–8 000 zł brutto / mies.,Brak technologii,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-obslugi-informatycznej-szkolen-warszawa-wiezowa-8,oferta,1003815327?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Programista / Programistka PHP/Symfony,DAPR sp. z o.o.,2025-01-21,8 000–13 000 zł / mies. (zal. od umowy),Brak technologii,"https://www.pracuj.pl/praca/programista-programistka-php-symfony-warszawa-zurawia-47,oferta,1003852654?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Administrator IT,CCL Specialty Cartons Sp. z o.o,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/administrator-it-gdansk-bernarda-chrzanowskiego-11,oferta,1003852628?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Software Engineer II - Buyable Corpus Software Engineering,Google,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/software-engineer-ii-buyable-corpus-software-engineering-warszawa-emilii-plater-53,oferta,1003852129?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Software Engineer II - Shopping Metrics,Google,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/software-engineer-ii-shopping-metrics-warszawa-emilii-plater-53,oferta,1003852122?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
"Software Engineer ll - Embedded, Pixel Power",Google,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/software-engineer-ll-embedded-pixel-power-warszawa-emilii-plater-53,oferta,1003852060?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
"Software Engineer - Early Career, Cloud AI",Google,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/software-engineer-early-career-cloud-ai-warszawa-emilii-plater-53,oferta,1003852050?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
IT Software Engineer Intern,TSMC Europe B.V.,2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/it-software-engineer-intern-taiwan,oferta,11106690?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Junior Front-end Developer,VISEVEN POLAND sp. z o.o.,2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/junior-front-end-developer-poznan,oferta,1003849240?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Junior Frontend Developer,"Grupa eSprzedaż Łukasz Sadłowski, Netgraf",2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/junior-frontend-developer-warszawa-trawiasta-58,oferta,1003849209?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Internship - Java Intern for IoT Solutions,Samsung R&D Institute Poland,2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/internship-java-intern-for-iot-solutions-warszawa-plac-europejski-1,oferta,1003830652?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Cloud Infrastructure & DevOps Internship Program (He/She/They),Accenture Technology,2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/cloud-infrastructure-devops-internship-program-he-she-they-warszawa,oferta,1003849005?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Programista .NET,PROGSO Sp. z o. o.,2025-01-20,7 000–18 000 zł / mies. (zal. od umowy),Brak technologii,"https://www.pracuj.pl/praca/programista-net-warszawa-piekna-19,oferta,1003822486?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
PHP Developer,"Grupa eSprzedaż Łukasz Sadłowski, Netgraf",2025-01-19,6 000–11 000 zł / mies. (zal. od umowy),Brak technologii,"https://www.pracuj.pl/praca/php-developer-warszawa-trawiasta-58,oferta,1003843735?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Application Security Specialist (She/He/They),Accenture Technology,2025-01-19,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/application-security-specialist-she-he-they-warszawa,oferta,1003806282?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Junior Backend Developer,autoDNA.pl,2025-01-18,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/junior-backend-developer-lodz-obywatelska-128-152,oferta,1003832156?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Junior Full Stack Developer (Młodszy Programista),"""WDX"" S.A.",2025-01-17,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/junior-full-stack-developer-mlodszy-programista-warszawa,oferta,1003846353?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
.NET Junior Developer,EIB S.A.,2025-01-17,5 000–9 500 zł brutto / mies.,Brak technologii,"https://www.pracuj.pl/praca/net-junior-developer-torun-jeczmienna-21,oferta,1003815596?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Programista / Webdeveloper,Plasticon Poland S.A.,2025-01-17,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/programista-webdeveloper-torun-marii-sklodowskiej-curie-59,oferta,1003845401?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Młodszy Programista,Saint-Gobain,2025-01-16,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/mlodszy-programista-zary-szklarska-27,oferta,1003825326?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Programista/-ka,Wielkopolska Akademia Nauki i Rozwoju Sp. z o.o. Sp.k.,2025-01-13,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/programista-ka-poznan-grochowska-35,oferta,1003805639?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Programista PHP/JS,Enadis Sp. z o.o.,2025-01-10,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/programista-php-js-gdynia,oferta,1003826925?s=755d9ca3&searchId=MTczNzQ5MzI3MjAwNC45MDE5"
Origination Intern (f/m),Axpo Polska sp. z o.o.,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/origination-intern-f-m-warszawa-rondo-daszynskiego-2b,oferta,1003829887?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Data Engineer,SQUARE ONE RESOURCES sp. z o.o.,2025-01-21,60–100 zł netto (+ VAT) / godz.,Brak technologii,"https://www.pracuj.pl/praca/data-engineer-warszawa-pulawska-2,oferta,1003833671?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
"Internship in the IT area (PHP, JAVA, SQL, C++, PYTHON, JAVASCRIPT)",Accenture Technology,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/internship-in-the-it-area-php-java-sql-c%2b%2b-python-javascript-warszawa,oferta,1003854586?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Software Engineer for the Galileo Reference Centre,GMV INNOVATING SOLUTIONS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/software-engineer-for-the-galileo-reference-centre-warszawa,oferta,1003843456?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
"Software Engineer, Early Career, Campus",Google,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/software-engineer-early-career-campus-warszawa-emilii-plater-53,oferta,1003805916?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Młodszy specjalista ds. obsługi informatycznej szkoleń,Polska Agencja Żeglugi Powietrznej,2025-01-21,6 000–8 000 zł brutto / mies.,Brak technologii,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-obslugi-informatycznej-szkolen-warszawa-wiezowa-8,oferta,1003815327?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Administrator IT,CCL Specialty Cartons Sp. z o.o,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/administrator-it-gdansk-bernarda-chrzanowskiego-11,oferta,1003852628?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Młodszy Deweloper RPA (MS Power Platform),Meritoros SA,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/mlodszy-deweloper-rpa-ms-power-platform-krakow-aleja-pokoju-62,oferta,1003852595?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Huntsman Internship Program - Process Mining Data Support,HUNTSMAN (POLAND) sp. z o.o.,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/huntsman-internship-program-process-mining-data-support-krakow-pawia-9,oferta,1003826340?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Software Engineer II - Buyable Corpus Software Engineering,Google,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/software-engineer-ii-buyable-corpus-software-engineering-warszawa-emilii-plater-53,oferta,1003852129?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Software Engineer II - Shopping Metrics,Google,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/software-engineer-ii-shopping-metrics-warszawa-emilii-plater-53,oferta,1003852122?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
"Software Engineer ll - Embedded, Pixel Power",Google,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/software-engineer-ll-embedded-pixel-power-warszawa-emilii-plater-53,oferta,1003852060?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
"Software Engineer - Early Career, Cloud AI",Google,2025-01-21,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/software-engineer-early-career-cloud-ai-warszawa-emilii-plater-53,oferta,1003852050?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Młodszy Specjalista ds. Automatyzacji i Robotyzacji Procesów,DAKO Sp. z o.o.,2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-automatyzacji-i-robotyzacji-procesow-nowy-sacz-aleje-pilsudskiego-88,oferta,1003802565?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Brak tytułu,Atinea Sp. z o.o.,2025-01-20,Brak wynagrodzenia,Brak technologii,Brak linku
Junior DevOps/Cloud Engineer,CloudForge,2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/junior-devops-cloud-engineer-warszawa-twarda-18,oferta,1003851263?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Junior Embedded Hardware Engineer,VIOTAS Limited Sp. z o.o. Oddział w Polsce,2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/junior-embedded-hardware-engineer-krakow-aleja-juliusza-slowackiego-64,oferta,1003851214?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Internship in Platform Software unit – Quality Engineer,DeLaval Operations Sp. z o.o.,2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/internship-in-platform-software-unit-quality-engineer-wroclaw-robotnicza-72,oferta,1003850905?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Internship – Applied AI/ML for Large Language Models,Hitachi Energy Poland Sp. z o.o.,2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/internship-applied-ai-ml-for-large-language-models-krakow-pawia-7,oferta,1003850616?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
IT AI/ML Engineer Intern,TSMC Europe B.V.,2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/it-ai-ml-engineer-intern-taiwan,oferta,11106706?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
IT Software Engineer Intern,TSMC Europe B.V.,2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/it-software-engineer-intern-taiwan,oferta,11106690?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
ML Ops with Azure / Databricks,SQUARE ONE RESOURCES sp. z o.o.,2025-01-20,110–125 zł netto (+ VAT) / godz.,Brak technologii,"https://www.pracuj.pl/praca/ml-ops-with-azure-databricks-warszawa-pulawska-2,oferta,1003819495?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Specjalistka/Specjalista ds. Zarządzania Systemami Teleinformatycznymi,Orange Polska,2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/specjalistka-specjalista-ds-zarzadzania-systemami-teleinformatycznymi-warszawa-aleje-jerozolimskie-160,oferta,1003838337?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Junior Specjalista ds. Bezpieczeństwa IT,Contina Sp. z o.o.,2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/junior-specjalista-ds-bezpieczenstwa-it-katowice-graniczna-29,oferta,1003849400?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Cloud Infrastructure & DevOps Internship Program (He/She/They),Accenture Technology,2025-01-20,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/cloud-infrastructure-devops-internship-program-he-she-they-warszawa,oferta,1003849005?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Junior Python Developer/ka,BLOCKWISE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2025-01-20,6 000–10 000 zł / mies. (zal. od umowy),Brak technologii,"https://www.pracuj.pl/praca/junior-python-developer-ka-warszawa-polczynska-112a,oferta,1003844767?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Application Security Specialist (She/He/They),Accenture Technology,2025-01-19,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/application-security-specialist-she-he-they-warszawa,oferta,1003806282?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Internship – CUDA C++/Python Software Developer,Hitachi Energy Poland Sp. z o.o.,2025-01-19,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/internship-cuda-c%2b%2b-python-software-developer-krakow-pawia-7,oferta,1003823684?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Programista Python,dcs.pl Sp. z o.o.,2025-01-18,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/programista-python-warszawa-pulawska-303,oferta,1003834253?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Staż Analityczny,Grupa ERGO Hestia,2025-01-18,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/staz-analityczny-sopot-hestii-1,oferta,1003820021?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Specjalista / Specjalistka ds. Analizy Danych,"""UNEXT"" sp. z o.o.",2025-01-17,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/specjalista-specjalistka-ds-analizy-danych-warszawa,oferta,1003847579?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Software Engineer (Finance IT) (Investment Banking Tech),HSBC Service Delivery (Polska) Sp. z o.o.,2025-01-17,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/software-engineer-finance-it-investment-banking-tech-krakow-kapelanka-42a,oferta,1003845365?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
EmbeddedSystems.do - Engineering Team Member,EMBEDDEDSYSTEMS.DO sp. z o.o.,2025-01-16,4 000–12 000 zł / mies. (zal. od umowy),Brak technologii,"https://www.pracuj.pl/praca/embeddedsystems-do-engineering-team-member-gdynia-aleja-zwyciestwa-96-98,oferta,1003843529?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Application Support Engineer,GFT Poland,2025-01-15,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/application-support-engineer-lodz,oferta,1003840464?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Programista/-ka,Wielkopolska Akademia Nauki i Rozwoju Sp. z o.o. Sp.k.,2025-01-13,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/programista-ka-poznan-grochowska-35,oferta,1003805639?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Płatny Staż w zespole Converter Queueing Engine (CQE),Robert Bosch Sp. z o.o.,2025-01-11,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/platny-staz-w-zespole-converter-queueing-engine-cqe-warszawa-jutrzenki-105,oferta,1003803899?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
Płatny Staż w Wydziale Cyberbezpieczeństwa,Asseco Business Solutions S.A.,2025-01-09,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/platny-staz-w-wydziale-cyberbezpieczenstwa-lublin-konrada-wallenroda-4c,oferta,1003824649?s=31b129aa&searchId=MTczNzQ5MzI3MjAyNS4zMDQ3"
